,Date,Open,High,Low,Close,Volume,Market Cap
0,"Mar 29, 2018",0.042066,0.042516,0.036156,0.036915,"37,122,800","621,181,000"
1,"Mar 28, 2018",0.039952,0.043453,0.039238,0.041806,"29,638,700","589,806,000"
2,"Mar 27, 2018",0.045505,0.054977,0.039841,0.039978,"180,361,000","671,591,000"
3,"Mar 26, 2018",0.040832,0.046922,0.035033,0.044531,"65,555,900","602,454,000"
4,"Mar 25, 2018",0.044403,0.044403,0.039587,0.040702,"31,131,800","654,974,000"
5,"Mar 24, 2018",0.038876,0.048593,0.038624,0.044792,"77,655,800","573,290,000"
6,"Mar 23, 2018",0.038680,0.040045,0.034653,0.038361,"54,250,800","570,231,000"
7,"Mar 22, 2018",0.033559,0.041068,0.030641,0.039266,"46,181,500","494,601,000"
8,"Mar 21, 2018",0.034894,0.036593,0.032496,0.033628,"10,398,000","514,135,000"
9,"Mar 20, 2018",0.031634,0.035473,0.030078,0.034810,"11,984,800","465,980,000"
10,"Mar 19, 2018",0.029721,0.031761,0.028708,0.031449,"9,011,470","437,676,000"
11,"Mar 18, 2018",0.028406,0.030320,0.023956,0.029510,"9,843,710","418,196,000"
12,"Mar 17, 2018",0.033076,0.033081,0.028070,0.028408,"6,718,990","486,805,000"
13,"Mar 16, 2018",0.031614,0.034847,0.030283,0.032892,"14,059,300","465,157,000"
14,"Mar 15, 2018",0.031363,0.031776,0.027721,0.031201,"9,724,440","461,339,000"
15,"Mar 14, 2018",0.036160,0.037727,0.030236,0.031378,"8,475,110","531,762,000"
16,"Mar 13, 2018",0.037394,0.038808,0.035825,0.036173,"6,449,030","549,755,000"
17,"Mar 12, 2018",0.039078,0.040894,0.035862,0.037688,"8,081,210","574,353,000"
18,"Mar 11, 2018",0.036216,0.039858,0.034626,0.039274,"7,920,510","532,268,000"
19,"Mar 10, 2018",0.039218,0.042399,0.035577,0.036487,"11,953,300","576,083,000"
20,"Mar 09, 2018",0.038541,0.039392,0.032264,0.039227,"13,440,500","565,992,000"
21,"Mar 08, 2018",0.043104,0.043716,0.038421,0.038908,"10,226,700","632,813,000"
22,"Mar 07, 2018",0.049088,0.051381,0.038953,0.043275,"23,510,800","720,479,000"
23,"Mar 06, 2018",0.054755,0.054755,0.048673,0.049115,"12,829,900","803,432,000"
24,"Mar 05, 2018",0.056107,0.057071,0.054316,0.054430,"14,381,500","823,028,000"
25,"Mar 04, 2018",0.055704,0.057338,0.053960,0.056533,"13,547,200","816,890,000"
26,"Mar 03, 2018",0.059608,0.059868,0.055483,0.055918,"18,436,600","873,904,000"
27,"Mar 02, 2018",0.058890,0.064675,0.058359,0.059960,"52,483,700","863,144,000"
28,"Mar 01, 2018",0.053702,0.065946,0.052975,0.058374,"72,097,200","786,877,000"
29,"Feb 28, 2018",0.060107,0.062274,0.053547,0.053547,"18,267,000","880,480,000"
30,"Feb 27, 2018",0.061082,0.062182,0.058398,0.060123,"17,610,400","894,523,000"
31,"Feb 26, 2018",0.058429,0.062961,0.056356,0.060978,"16,848,800","855,437,000"
32,"Feb 25, 2018",0.057265,0.060230,0.055531,0.058436,"20,605,800","838,163,000"
33,"Feb 24, 2018",0.061316,0.066668,0.055592,0.057184,"15,957,400","897,200,000"
34,"Feb 23, 2018",0.059073,0.065071,0.056150,0.061565,"26,140,000","864,133,000"
35,"Feb 22, 2018",0.064739,0.069385,0.057828,0.059129,"28,040,700","946,758,000"
36,"Feb 21, 2018",0.069946,0.075561,0.062879,0.065142,"40,620,700","1,022,620,000"
37,"Feb 20, 2018",0.082414,0.083053,0.068712,0.069615,"58,246,300","1,204,580,000"
38,"Feb 19, 2018",0.075448,0.085902,0.075448,0.082269,"86,298,800","1,102,440,000"
39,"Feb 18, 2018",0.089199,0.089199,0.074366,0.075660,"111,774,000","1,303,040,000"
40,"Feb 17, 2018",0.068229,0.091904,0.066564,0.089996,"349,131,000","1,009,220,000"
41,"Feb 16, 2018",0.059213,0.071386,0.058913,0.069060,"48,604,700","875,593,000"
42,"Feb 15, 2018",0.058570,0.060103,0.055960,0.059384,"19,776,800","865,811,000"
43,"Feb 14, 2018",0.052964,0.059002,0.052867,0.058619,"18,815,500","772,900,000"
44,"Feb 13, 2018",0.055966,0.056378,0.051595,0.053203,"10,987,200","816,477,000"
45,"Feb 12, 2018",0.051609,0.057312,0.051607,0.056021,"13,958,900","752,690,000"
46,"Feb 11, 2018",0.056624,0.056624,0.048860,0.051087,"15,679,700","825,599,000"
47,"Feb 10, 2018",0.057698,0.064967,0.053245,0.056941,"40,634,900","841,023,000"
48,"Feb 09, 2018",0.052246,0.058311,0.049136,0.058098,"14,679,200","761,343,000"
49,"Feb 08, 2018",0.047908,0.055726,0.047908,0.052262,"22,484,500","697,936,000"
50,"Feb 07, 2018",0.051515,0.058281,0.045923,0.047986,"25,558,100","750,269,000"
51,"Feb 06, 2018",0.043242,0.053267,0.033773,0.052022,"39,727,000","629,594,000"
52,"Feb 05, 2018",0.053833,0.055231,0.039146,0.042611,"23,695,200","783,589,000"
53,"Feb 04, 2018",0.064839,0.067106,0.050717,0.054085,"28,513,800","943,517,000"
54,"Feb 03, 2018",0.054481,0.068427,0.049717,0.064728,"49,307,900","792,570,000"
55,"Feb 02, 2018",0.058316,0.058682,0.039394,0.054197,"46,633,700","848,117,000"
56,"Feb 01, 2018",0.069766,0.075208,0.053619,0.058035,"39,407,700","1,014,360,000"
57,"Jan 31, 2018",0.068903,0.071016,0.063568,0.069787,"27,155,800","1,001,540,000"
58,"Jan 30, 2018",0.085387,0.085651,0.066962,0.068408,"43,002,700","1,240,790,000"
59,"Jan 29, 2018",0.091590,0.092058,0.084012,0.084969,"32,948,000","1,330,540,000"
60,"Jan 28, 2018",0.094500,0.095058,0.090789,0.091870,"47,936,600","1,372,430,000"
61,"Jan 27, 2018",0.087927,0.096731,0.084198,0.094201,"47,387,500","1,276,620,000"
62,"Jan 26, 2018",0.089551,0.094452,0.079004,0.088158,"64,874,700","1,299,830,000"
63,"Jan 25, 2018",0.094816,0.097603,0.088849,0.090185,"45,742,100","1,375,860,000"
64,"Jan 24, 2018",0.093213,0.099223,0.091843,0.093469,"56,160,000","1,352,210,000"
65,"Jan 23, 2018",0.094389,0.098701,0.083965,0.093314,"48,633,200","1,368,890,000"
66,"Jan 22, 2018",0.104893,0.108190,0.084902,0.094569,"74,751,100","1,520,800,000"
